Player;#;Pos;Min;Gls;Ast;Sh;SoT;Touches;Press;Tkl;Int;Blocks;xG;npxG;xA;SCA;GCA;Cmp;Att;Cmp%;Prog;Succ;Att
Son Heung-min\Son-Heung-min;7;FW;90;1;0;5;1;44;8;0;0;1;0.2;0.2;0.1;2;0;25;32;78.1;1;1;1
Steven Bergwijn\Steven-Bergwijn;23;LW;76;0;1;3;1;24;9;0;0;1;0.5;0.5;0.1;3;1;12;15;80;2;1;1
Giovani Lo Celso\Giovani-Lo-Celso;18;LW;14;0;0;0;0;15;4;1;0;0;0;0;0;0;0;4;9;44.4;0;1;2
Lucas Moura\Lucas-Moura;27;RW;90;0;0;4;0;56;13;2;2;0;0.4;0.4;0.2;6;1;31;36;86.1;5;4;8
Dele Alli\Dele-Alli;20;CM;90;0;0;0;0;33;19;3;3;1;0;0;0;1;0;16;21;76.2;4;1;1
Pierre Højbjerg\Pierre-Hojbjerg;5;CM;89;0;0;1;0;49;18;5;3;3;0;0;0.1;4;0;28;38;73.7;4;0;0
Cristian Romero\Cristian-Romero;4;CM;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;100;0;0;0
Oliver Skipp\Oliver-Skipp;29;DM;90;0;0;0;0;36;26;2;2;5;0;0;0;0;0;22;26;84.6;2;0;0
Sergio Reguilón\Sergio-Reguilon;3;LB;90;0;0;0;0;28;6;0;5;0;0;0;0.1;3;0;16;22;72.7;3;0;0
Eric Dier\Eric-Dier;15;CB;90;0;0;0;0;32;2;0;5;1;0;0;0;0;0;16;23;69.6;2;0;0
Davinson Sánchez\Davinson-Sanchez;6;CB;90;0;0;1;0;40;11;3;0;3;0.1;0.1;0;1;0;20;28;71.4;1;0;0
Japhet Tanganga\Japhet-Tanganga;25;RB;82;0;0;0;0;50;15;4;3;5;0;0;0.3;1;0;29;32;90.6;3;0;1
Matt Doherty\Matt-Doherty;2;RB;8;0;0;0;0;7;2;1;0;1;0;0;0;0;0;3;6;50;1;1;1
Hugo Lloris\Hugo-Lloris;1;GK;90;0;0;0;0;30;0;0;0;0;0;0;0;0;0;17;27;63;0;0;0