Min_Cronaca,tifo,compound,Positive,Negative,Neutral,Total_tif,Comp_med
1,Manchester City,16.637800000000002,46,3,11,60,0.36169130434782615
1,Neutral,13.769200000000005,27,12,65,104,0.5099703703703705
1,Tottenham,12.819599999999998,32,9,51,92,0.4006124999999999
10,Manchester City,7.926100000000002,16,1,9,26,0.4953812500000001
10,Neutral,17.399299999999993,43,15,49,107,0.4046348837209301
10,Tottenham,5.4345,12,3,28,43,0.45287499999999997
11,Manchester City,3.4699999999999984,17,25,3,45,0.20411764705882343
11,Neutral,12.990200000000002,39,12,34,85,0.3330820512820513
11,Tottenham,5.3795,11,7,16,34,0.48904545454545456
12,Manchester City,3.8669,16,15,5,36,0.24168125
12,Neutral,15.060600000000003,40,13,44,97,0.37651500000000004
12,Tottenham,7.597100000000001,18,6,16,40,0.42206111111111116
13,Manchester City,9.5577,26,10,7,43,0.36760384615384617
13,Neutral,4.8571,26,15,50,91,0.18681153846153847
13,Tottenham,4.5035,14,5,9,28,0.3216785714285714
14,Manchester City,3.6793000000000005,12,14,5,31,0.30660833333333337
14,Neutral,11.179200000000002,35,9,40,84,0.31940571428571435
14,Tottenham,6.1273,15,6,16,37,0.40848666666666666
15,Manchester City,10.8512,29,5,8,42,0.3741793103448276
15,Neutral,11.728900000000003,39,10,37,86,0.3007410256410257
15,Tottenham,-0.1712999999999999,5,6,23,34,-0.03425999999999998
16,Manchester City,7.3262,20,12,7,39,0.36631
16,Neutral,10.994,36,11,53,100,0.3053888888888889
16,Tottenham,2.0157,8,7,16,31,0.2519625
17,Manchester City,1.6380999999999997,5,5,15,25,0.3276199999999999
17,Neutral,16.485600000000005,39,9,32,80,0.42270769230769245
17,Tottenham,5.4876,12,6,14,32,0.4573
18,Manchester City,5.293900000000001,17,8,9,34,0.3114058823529412
18,Neutral,10.587600000000002,26,7,42,75,0.4072153846153847
18,Tottenham,3.5176,9,4,10,23,0.39084444444444444
19,Manchester City,2.2926,8,4,9,21,0.286575
19,Neutral,19.075400000000005,49,6,55,110,0.3892938775510205
19,Tottenham,6.537700000000001,16,5,11,32,0.40860625000000006
2,Manchester City,14.446900000000001,35,1,13,49,0.4127685714285715
2,Neutral,13.006200000000002,35,10,61,106,0.3716057142857143
2,Tottenham,6.3127,17,7,18,42,0.3713352941176471
20,Manchester City,1.7953000000000001,5,2,5,12,0.35906000000000005
20,Neutral,13.984400000000004,33,5,57,95,0.42376969696969713
20,Tottenham,6.7280999999999995,11,1,15,27,0.6116454545454545
21,Manchester City,1.8387000000000002,14,8,5,27,0.1313357142857143
21,Neutral,15.084500000000002,44,13,46,103,0.3428295454545455
21,Tottenham,3.5282999999999998,11,3,10,24,0.32075454545454546
22,Manchester City,4.9866,17,7,9,33,0.2933294117647059
22,Neutral,5.814700000000002,25,14,38,77,0.23258800000000007
22,Tottenham,1.9076999999999995,10,6,14,30,0.19076999999999994
23,Manchester City,3.1647,12,6,8,26,0.263725
23,Neutral,17.153800000000007,36,7,42,85,0.47649444444444466
23,Tottenham,3.9202,7,1,6,14,0.5600285714285714
24,Manchester City,3.9198000000000013,15,2,7,24,0.2613200000000001
24,Neutral,8.5565,29,10,37,76,0.295051724137931
24,Tottenham,6.810400000000001,16,5,5,26,0.4256500000000001
25,Manchester City,4.822500000000001,13,5,7,25,0.3709615384615385
25,Neutral,6.256199999999999,25,12,38,75,0.25024799999999997
25,Tottenham,6.683200000000001,17,3,16,36,0.39312941176470595
26,Manchester City,5.3771,19,4,13,36,0.28300526315789476
26,Neutral,11.005100000000004,38,17,58,113,0.28960789473684223
26,Tottenham,4.5760000000000005,9,2,6,17,0.5084444444444445
27,Manchester City,5.531500000000001,15,3,6,24,0.36876666666666674
27,Neutral,12.296400000000002,36,7,60,103,0.34156666666666674
27,Tottenham,3.199099999999999,12,7,5,24,0.2665916666666666
28,Manchester City,7.844600000000001,17,1,7,25,0.46144705882352943
28,Neutral,10.510900000000003,36,14,54,104,0.2919694444444445
28,Tottenham,0.6748999999999997,7,6,8,21,0.09641428571428567
29,Manchester City,5.541400000000001,16,2,6,24,0.3463375000000001
29,Neutral,14.685300000000007,40,10,53,103,0.3671325000000002
29,Tottenham,6.758299999999999,12,3,5,20,0.5631916666666666
3,Manchester City,10.508500000000002,30,4,8,42,0.3502833333333334
3,Neutral,11.333899999999996,34,11,43,88,0.33334999999999987
3,Tottenham,12.1855,26,4,19,49,0.4686730769230769
30,Manchester City,1.8356,9,5,2,16,0.20395555555555556
30,Neutral,17.641400000000008,48,11,47,106,0.36752916666666685
30,Tottenham,3.760299999999999,13,7,4,24,0.2892538461538461
31,Manchester City,10.1213,29,2,4,35,0.3490103448275862
31,Neutral,13.438600000000008,48,19,38,105,0.2799708333333335
31,Tottenham,5.087900000000001,14,9,5,28,0.3634214285714287
32,Manchester City,7.039700000000001,19,2,4,25,0.3705105263157895
32,Neutral,-10.922299999999993,38,55,66,159,-0.28742894736842084
32,Tottenham,1.9798000000000004,16,20,18,54,0.12373750000000003
33,Manchester City,4.2314,15,4,3,22,0.2820933333333333
33,Neutral,-11.172599999999992,38,64,59,161,-0.294015789473684
33,Tottenham,5.063300000000001,17,11,19,47,0.2978411764705883
34,Manchester City,3.8910000000000005,12,3,5,20,0.32425000000000004
34,Neutral,26.825400000000005,89,20,84,193,0.301408988764045
34,Tottenham,4.928700000000002,17,7,6,30,0.2899235294117648
35,Manchester City,3.0734,9,3,6,18,0.3414888888888889
35,Neutral,12.581900000000001,51,29,46,126,0.24670392156862747
35,Tottenham,10.685599999999999,24,6,11,41,0.4452333333333333
36,Manchester City,4.7283,13,5,4,22,0.3637153846153846
36,Neutral,9.397199999999998,44,25,65,134,0.21357272727272722
36,Tottenham,5.3425,14,2,6,22,0.38160714285714287
37,Manchester City,0.7712,4,2,4,10,0.1928
37,Neutral,8.8761,41,29,55,125,0.216490243902439
37,Tottenham,4.647300000000001,16,7,10,33,0.2904562500000001
38,Manchester City,5.888599999999999,20,3,5,28,0.29442999999999997
38,Neutral,11.068100000000003,46,25,47,118,0.24061086956521746
38,Tottenham,1.9935000000000007,9,6,11,26,0.22150000000000009
39,Manchester City,6.739699999999998,21,5,2,28,0.32093809523809513
39,Neutral,15.502800000000004,54,18,41,113,0.28708888888888895
39,Tottenham,4.1036,13,6,12,31,0.3156615384615385
4,Manchester City,12.564000000000002,30,0,4,34,0.41880000000000006
4,Neutral,12.1127,34,10,49,93,0.3562558823529412
4,Tottenham,10.7835,20,2,28,50,0.539175
40,Manchester City,5.020199999999999,13,1,2,16,0.3861692307692307
40,Neutral,1.6771999999999994,37,27,38,102,0.04532972972972971
40,Tottenham,4.233,13,7,10,30,0.3256153846153846
41,Manchester City,5.9506000000000006,16,1,2,19,0.37191250000000003
41,Neutral,-0.4006,40,40,48,128,-0.010015
41,Tottenham,1.5955999999999997,12,14,15,41,0.13296666666666665
42,Manchester City,1.9671,5,0,2,7,0.39342
42,Neutral,8.181400000000002,52,35,43,130,0.1573346153846154
42,Tottenham,7.5892,20,7,15,42,0.37946
43,Manchester City,3.7119999999999997,11,3,2,16,0.33745454545454545
43,Neutral,5.103500000000002,46,37,53,136,0.11094565217391308
43,Tottenham,11.751899999999997,25,6,6,37,0.4700759999999999
44,Manchester City,2.2641,8,2,4,14,0.2830125
44,Neutral,16.496300000000005,58,26,57,141,0.28441896551724144
44,Tottenham,4.782800000000001,20,11,4,35,0.23914000000000005
45,Manchester City,4.942200000000001,13,3,5,21,0.3801692307692308
45,Neutral,6.279600000000003,44,25,63,132,0.14271818181818188
45,Tottenham,8.076800000000002,22,8,8,38,0.3671272727272728
45+1,Manchester City,4.3042,10,3,11,24,0.43041999999999997
45+1,Neutral,25.084800000000005,70,15,54,139,0.3583542857142858
45+1,Tottenham,7.277800000000001,16,10,11,37,0.45486250000000006
45+2,Manchester City,24.015399999999993,64,3,13,80,0.3752406249999999
45+2,Neutral,29.569500000000012,89,22,133,244,0.332241573033708
45+2,Tottenham,31.995500000000003,66,12,25,103,0.48478030303030306
46,Manchester City,3.7451999999999988,14,3,4,21,0.26751428571428565
46,Neutral,11.474300000000001,31,7,49,87,0.3701387096774194
46,Tottenham,2.9795000000000003,9,1,11,21,0.3310555555555556
47,Manchester City,3.5119999999999996,12,2,4,18,0.29266666666666663
47,Neutral,13.426800000000004,37,8,32,77,0.3628864864864866
47,Tottenham,5.7879,13,3,11,27,0.4452230769230769
48,Manchester City,5.4221,13,0,0,13,0.4170846153846154
48,Neutral,6.9215,26,10,31,67,0.26621153846153844
48,Tottenham,2.3126999999999995,7,4,8,19,0.3303857142857142
49,Manchester City,2.848,8,1,2,11,0.356
49,Neutral,14.642100000000003,45,12,43,100,0.32538000000000006
49,Tottenham,4.8881000000000006,13,3,5,21,0.3760076923076924
5,Manchester City,12.951300000000002,29,0,4,33,0.446596551724138
5,Neutral,8.4983,25,16,50,91,0.339932
5,Tottenham,8.216999999999999,19,4,21,44,0.43247368421052623
50,Manchester City,1.8237,6,0,3,9,0.30395
50,Neutral,12.6521,37,12,40,89,0.34194864864864866
50,Tottenham,3.1295,8,4,9,21,0.3911875
51,Manchester City,1.5012,7,2,4,13,0.21445714285714287
51,Neutral,6.768000000000001,29,10,31,70,0.23337931034482762
51,Tottenham,1.4467,5,3,8,16,0.28934000000000004
52,Manchester City,1.8143000000000002,6,1,4,11,0.3023833333333334
52,Neutral,8.246,34,17,53,104,0.24252941176470588
52,Tottenham,-0.48,4,4,4,12,-0.12
53,Manchester City,4.014099999999999,10,4,11,25,0.40140999999999993
53,Neutral,15.515899999999998,48,15,42,105,0.32324791666666663
53,Tottenham,5.9972,13,3,6,22,0.46132307692307695
54,Manchester City,6.2692999999999985,20,2,19,41,0.31346499999999994
54,Neutral,21.6141,82,50,145,277,0.26358658536585367
54,Tottenham,18.530200000000004,38,9,104,151,0.48763684210526326
55,Manchester City,12.391499999999999,48,11,15,74,0.25815625
55,Neutral,38.23349999999999,189,126,329,644,0.20229365079365075
55,Tottenham,45.970999999999975,116,34,311,461,0.3963017241379308
56,Manchester City,5.1221,30,11,12,53,0.17073666666666665
56,Neutral,75.44809999999994,212,91,268,571,0.35588726415094313
56,Tottenham,55.62249999999996,119,27,149,295,0.4674159663865543
57,Manchester City,10.791399999999998,30,6,11,47,0.3597133333333333
57,Neutral,49.00319999999997,155,79,183,417,0.3161496774193547
57,Tottenham,36.4821,82,30,87,199,0.4449036585365854
58,Manchester City,6.7242,25,6,5,36,0.268968
58,Neutral,30.25840000000002,116,64,173,353,0.26084827586206916
58,Tottenham,16.8071,50,24,82,156,0.33614199999999994
59,Manchester City,2.7064,12,4,3,19,0.22553333333333334
59,Neutral,24.197300000000006,83,47,95,225,0.2915337349397591
59,Tottenham,22.64640000000001,43,10,44,97,0.5266604651162793
6,Manchester City,6.699500000000001,24,5,7,36,0.27914583333333337
6,Neutral,8.1754,32,14,63,109,0.25548125
6,Tottenham,1.3928999999999996,13,12,19,44,0.10714615384615381
60,Manchester City,-2.4696999999999996,8,10,10,28,-0.30871249999999995
60,Neutral,12.892199999999999,92,76,119,287,0.14013260869565217
60,Tottenham,6.673200000000001,29,24,40,93,0.23011034482758624
61,Manchester City,1.7058000000000004,10,3,11,24,0.17058000000000004
61,Neutral,25.020500000000013,99,57,93,249,0.25273232323232336
61,Tottenham,13.793600000000005,40,20,30,90,0.34484000000000015
62,Manchester City,4.271599999999999,17,5,2,24,0.2512705882352941
62,Neutral,17.068700000000007,72,43,94,209,0.23706527777777786
62,Tottenham,15.332,36,10,25,71,0.42588888888888893
63,Manchester City,4.894499999999999,21,5,7,33,0.2330714285714285
63,Neutral,17.2107,69,41,93,203,0.24943043478260868
63,Tottenham,13.514100000000003,28,5,20,53,0.48264642857142864
64,Manchester City,4.3402,14,3,16,33,0.31001428571428574
64,Neutral,21.901199999999996,77,31,91,199,0.28443116883116876
64,Tottenham,15.494200000000003,32,9,24,65,0.4841937500000001
65,Manchester City,6.261900000000001,20,5,17,42,0.313095
65,Neutral,11.996400000000001,59,38,92,189,0.20332881355932206
65,Tottenham,9.376299999999999,24,11,18,53,0.39067916666666663
66,Manchester City,1.9264000000000001,8,4,8,20,0.24080000000000001
66,Neutral,18.355300000000003,60,27,86,173,0.3059216666666667
66,Tottenham,9.2419,25,6,10,41,0.36967599999999995
67,Manchester City,4.857799999999999,14,2,22,38,0.34698571428571423
67,Neutral,24.918400000000016,75,27,91,193,0.33224533333333356
67,Tottenham,16.366400000000006,34,10,17,61,0.48136470588235314
68,Manchester City,3.0402000000000005,14,5,18,37,0.21715714285714288
68,Neutral,22.212999999999994,61,20,117,198,0.36414754098360647
68,Tottenham,17.097299999999997,36,3,16,55,0.47492499999999993
69,Manchester City,0.6932000000000004,14,6,8,28,0.04951428571428574
69,Neutral,22.774900000000006,65,19,80,164,0.350383076923077
69,Tottenham,10.4425,25,5,11,41,0.4177
7,Manchester City,16.540399999999995,37,3,10,50,0.4470378378378377
7,Neutral,5.709300000000001,27,18,55,100,0.2114555555555556
7,Tottenham,-0.8950999999999997,15,17,23,55,-0.059673333333333314
70,Manchester City,8.412199999999999,22,2,6,30,0.3823727272727272
70,Neutral,21.827700000000004,64,19,59,142,0.34105781250000006
70,Tottenham,5.4942,13,4,18,35,0.42263076923076925
71,Manchester City,5.6796999999999995,21,3,8,32,0.27046190476190474
71,Neutral,9.9571,44,23,72,139,0.2262977272727273
71,Tottenham,9.247399999999999,19,3,13,35,0.4867052631578947
72,Manchester City,5.835199999999999,16,1,2,19,0.3646999999999999
72,Neutral,18.307199999999998,53,25,50,128,0.34541886792452825
72,Tottenham,5.4728,12,5,12,29,0.4560666666666667
73,Manchester City,2.0010999999999997,13,5,2,20,0.1539307692307692
73,Neutral,18.450400000000005,68,35,76,179,0.271329411764706
73,Tottenham,5.904900000000001,18,4,11,33,0.32805000000000006
74,Manchester City,1.9794000000000005,16,10,4,30,0.12371250000000003
74,Neutral,3.717000000000002,44,34,72,150,0.08447727272727278
74,Tottenham,5.043799999999999,11,3,10,24,0.4585272727272727
75,Manchester City,3.2153,19,7,2,28,0.1692263157894737
75,Neutral,9.5085,53,36,82,171,0.17940566037735847
75,Tottenham,11.8658,31,8,14,53,0.38276774193548385
76,Manchester City,1.5932,7,4,11,22,0.2276
76,Neutral,12.419400000000005,58,44,97,199,0.21412758620689665
76,Tottenham,13.0338,30,5,10,45,0.43445999999999996
77,Manchester City,0.3603000000000001,5,4,4,13,0.07206000000000003
77,Neutral,11.214699999999999,47,25,78,150,0.23861063829787232
77,Tottenham,12.659799999999999,26,7,10,43,0.4869153846153846
78,Manchester City,1.1807,5,2,4,11,0.23614000000000002
78,Neutral,13.427700000000003,47,24,93,164,0.2856957446808511
78,Tottenham,8.450800000000001,18,6,18,42,0.46948888888888896
79,Manchester City,5.209699999999999,22,7,6,35,0.2368045454545454
79,Neutral,24.0104,59,17,96,172,0.4069559322033898
79,Tottenham,9.745600000000001,20,3,15,38,0.48728000000000005
8,Manchester City,11.997300000000001,28,1,7,36,0.42847500000000005
8,Neutral,11.017200000000006,33,8,40,81,0.3338545454545456
8,Tottenham,1.3135,9,4,14,27,0.14594444444444443
80,Manchester City,9.373800000000001,31,5,9,45,0.3023806451612904
80,Neutral,11.508199999999999,41,22,87,150,0.28068780487804873
80,Tottenham,4.3816,10,2,14,26,0.43816
81,Manchester City,3.4096,16,6,4,26,0.2131
81,Neutral,4.2517000000000005,31,20,134,185,0.13715161290322583
81,Tottenham,9.750500000000002,16,1,8,25,0.6094062500000001
82,Manchester City,2.9131999999999993,8,1,5,14,0.3641499999999999
82,Neutral,9.717000000000002,39,24,106,169,0.24915384615384623
82,Tottenham,8.4375,19,5,8,32,0.4440789473684211
83,Manchester City,6.951799999999999,20,3,4,27,0.34758999999999995
83,Neutral,12.013799999999998,48,26,91,165,0.25028749999999994
83,Tottenham,16.488300000000006,55,10,27,92,0.29978727272727285
84,Manchester City,3.9265,11,1,3,15,0.35695454545454547
84,Neutral,12.358400000000007,46,22,81,149,0.26866086956521756
84,Tottenham,18.938899999999993,42,4,18,64,0.4509261904761903
85,Manchester City,2.8058,7,1,4,12,0.4008285714285714
85,Neutral,13.201600000000001,49,25,64,138,0.26942040816326535
85,Tottenham,11.096400000000003,30,8,14,52,0.3698800000000001
86,Manchester City,1.6026,6,2,6,14,0.2671
86,Neutral,14.600500000000002,52,28,85,165,0.2807788461538462
86,Tottenham,9.799199999999999,25,7,19,51,0.391968
87,Manchester City,2.8651,9,1,5,15,0.31834444444444443
87,Neutral,8.059600000000001,33,21,72,126,0.24423030303030308
87,Tottenham,5.276399999999999,11,3,23,37,0.4796727272727272
88,Manchester City,5.119099999999999,16,4,5,25,0.3199437499999999
88,Neutral,16.4048,48,20,64,132,0.3417666666666667
88,Tottenham,7.257700000000001,17,5,24,46,0.42692352941176476
89,Manchester City,1.8202000000000003,10,3,6,19,0.18202000000000002
89,Neutral,22.031500000000012,56,24,64,144,0.3934196428571431
89,Tottenham,18.906999999999996,46,1,177,224,0.4110217391304347
9,Manchester City,13.7349,29,1,1,31,0.4736172413793103
9,Neutral,7.486699999999999,32,21,47,100,0.23395937499999997
9,Tottenham,0.41069999999999995,14,13,22,49,0.02933571428571428
90,Manchester City,3.2506,16,7,7,30,0.2031625
90,Neutral,33.49070000000002,98,47,109,254,0.34174183673469405
90,Tottenham,22.230399999999992,51,12,130,193,0.4358901960784312
90+1,Manchester City,4.749899999999999,15,8,2,25,0.31665999999999994
90+1,Neutral,42.13200000000001,140,84,89,313,0.30094285714285723
90+1,Tottenham,25.705399999999997,55,10,100,165,0.46737090909090906
90+2,Manchester City,2.0623000000000005,12,8,6,26,0.17185833333333336
90+2,Neutral,56.11569999999996,142,62,107,311,0.39518098591549267
90+2,Tottenham,18.846100000000003,49,16,65,130,0.3846142857142858
90+3,Manchester City,4.9979000000000005,15,5,2,22,0.33319333333333334
90+3,Neutral,24.4322,84,49,81,214,0.29085952380952385
90+3,Tottenham,15.266699999999998,38,12,63,113,0.40175526315789467
90+4,Manchester City,5.1046000000000005,23,12,4,39,0.22193913043478264
90+4,Neutral,58.2334,143,53,113,309,0.4072265734265734
90+4,Tottenham,34.7671,75,14,135,224,0.4635613333333333
90+5,Manchester City,3.2115999999999985,29,31,14,74,0.11074482758620684
90+5,Neutral,102.83810000000004,266,110,219,595,0.38660939849624076
90+5,Tottenham,184.90510000000015,346,53,321,720,0.5344078034682085
90+6,Manchester City,14.205199999999996,52,32,17,101,0.273176923076923
90+6,Neutral,158.54899999999998,361,124,279,764,0.43919390581717443
90+6,Tottenham,216.62720000000039,430,91,399,920,0.5037841860465125
